year,district_name,age,immigrants_percentage
2015,"Sarrià-Sant Gervasi",30-34,13.4357
2015,"Sarrià-Sant Gervasi",35-39,10.1023
2015,"Sarrià-Sant Gervasi",40-44,8.2749
2015,"Sarrià-Sant Gervasi",45-49,6.8713
2015,"Sarrià-Sant Gervasi",5-9,4.6491
2015,"Sarrià-Sant Gervasi",50-54,4.9708
2015,"Sarrià-Sant Gervasi",55-59,3.2310
2015,"Sarrià-Sant Gervasi",60-64,2.4415
2015,"Sarrià-Sant Gervasi",65-69,1.7982
2015,"Sarrià-Sant Gervasi",70-74,1.4474
2015,"Sarrià-Sant Gervasi",75-79,1.0234
2015,"Sarrià-Sant Gervasi",80-84,0.8333
2015,"Sarrià-Sant Gervasi",85-89,0.6871
2015,"Sarrià-Sant Gervasi",90-94,0.3801
2015,"Sarrià-Sant Gervasi",95-99,0.1170
