Year	Neighborhood Code	Gender	Immigrants
2016	54	Female	70
2016	55	Female	310
2016	56	Female	28
2016	57	Female	245
2016	58	Female	44
2016	59	Female	233
2016	60	Female	896
2016	61	Female	646
2016	62	Female	299
2016	63	Female	470
2016	64	Female	974
2016	65	Female	589
2016	66	Female	406
2016	67	Female	195
2016	68	Female	813
2016	69	Female	332
2016	70	Female	704
2016	71	Female	407
2016	72	Female	535
2016	73	Female	501
2015	1	Male	3219
2015	2	Male	1164
2015	3	Male	808
2015	4	Male	1302
2015	5	Male	999
2015	6	Male	1544
2015	7	Male	1376
2015	8	Male	1443
2015	9	Male	1699
2015	10	Male	1188
2015	11	Male	1573
2015	12	Male	33
2015	13	Male	691
2015	14	Male	372
2015	15	Male	605
2015	16	Male	488
2015	17	Male	708
2015	18	Male	1224
2015	19	Male	1022
2015	20	Male	626
2015	21	Male	392
2015	22	Male	110
2015	23	Male	579
2015	24	Male	313
2015	25	Male	575
2015	26	Male	1032
2015	27	Male	679
2015	28	Male	312
2015	29	Male	177
2015	30	Male	268
2015	31	Male	1607
2015	32	Male	780
2015	33	Male	587
2015	34	Male	205
2015	35	Male	805
2015	36	Male	125
2015	37	Male	564
2015	38	Male	205
2015	39	Male	135
2015	40	Male	112
2015	41	Male	99
2015	42	Male	20
2015	43	Male	481
2015	44	Male	498
2015	45	Male	510
2015	46	Male	382
2015	47	Male	17
2015	48	Male	203
2015	49	Male	77
2015	50	Male	409
2015	51	Male	278
2015	52	Male	497
2015	53	Male	189
2015	54	Male	70
2015	55	Male	303
2015	56	Male	37
2015	57	Male	407
2015	58	Male	61
2015	59	Male	310
2015	60	Male	898
2015	61	Male	548
2015	62	Male	272
2015	63	Male	470
2015	64	Male	935
2015	65	Male	612
2015	66	Male	442
2015	67	Male	243
2015	68	Male	800
2015	69	Male	348
2015	70	Male	921
2015	71	Male	474
2015	72	Male	496
2015	73	Male	529
2015	1	Female	2118
2015	2	Female	1038
2015	3	Female	746
2015	4	Female	1250
2015	5	Female	1005
2015	6	Female	1722
2015	7	Female	1597
2015	8	Female	1493
2015	9	Female	1844
2015	10	Female	1108
2015	11	Female	1321
2015	12	Female	28
2015	13	Female	674
2015	14	Female	390
