Year	Neighborhood Code	Age	Immigrants
2017	31	15-19	109
2017	32	15-19	47
2017	33	15-19	41
2017	34	15-19	19
2017	35	15-19	75
2017	36	15-19	13
2017	37	15-19	76
2017	38	15-19	24
2017	39	15-19	47
2017	40	15-19	7
2017	41	15-19	9
2017	42	15-19	4
2017	43	15-19	70
2017	44	15-19	55
2017	45	15-19	74
2017	46	15-19	60
2017	47	15-19	6
2017	48	15-19	20
2017	49	15-19	9
2017	50	15-19	55
2017	51	15-19	47
2017	52	15-19	79
2017	53	15-19	28
2017	54	15-19	4
2017	55	15-19	55
2017	56	15-19	3
2017	57	15-19	48
2017	58	15-19	5
2017	59	15-19	45
2017	60	15-19	74
2017	61	15-19	55
2017	62	15-19	35
2017	63	15-19	47
2017	64	15-19	64
2017	65	15-19	51
2017	66	15-19	83
2017	67	15-19	15
2017	68	15-19	54
2017	69	15-19	31
2017	70	15-19	111
2017	71	15-19	31
2017	72	15-19	48
2017	73	15-19	64
2017	99	15-19	0
2017	1	20-24	864
2017	2	20-24	493
2017	3	20-24	342
2017	4	20-24	458
2017	5	20-24	324
2017	6	20-24	537
2017	7	20-24	458
2017	8	20-24	521
2017	9	20-24	552
2017	10	20-24	359
2017	11	20-24	429
2017	12	20-24	6
2017	13	20-24	177
2017	14	20-24	82
2017	15	20-24	169
2017	16	20-24	112
2017	17	20-24	201
2017	18	20-24	420
2017	19	20-24	273
2017	20	20-24	182
2017	21	20-24	57
2017	22	20-24	12
2017	23	20-24	96
2017	24	20-24	65
2017	25	20-24	126
2017	26	20-24	229
2017	27	20-24	173
2017	28	20-24	110
2017	29	20-24	53
2017	30	20-24	87
2017	31	20-24	473
2017	32	20-24	239
2017	33	20-24	151
2017	34	20-24	53
2017	35	20-24	234
2017	36	20-24	33
2017	37	20-24	200
2017	38	20-24	73
2017	39	20-24	42
2017	40	20-24	27
2017	41	20-24	14
2017	42	20-24	6
2017	43	20-24	123
2017	44	20-24	122
2017	45	20-24	161
2017	46	20-24	109
2017	47	20-24	4
2017	48	20-24	53
2017	49	20-24	14
2017	50	20-24	152
2017	51	20-24	88
2017	52	20-24	164
2017	53	20-24	64
2017	54	20-24	10
2017	55	20-24	113
2017	56	20-24	4
2017	57	20-24	80
2017	58	20-24	18
2017	59	20-24	83
2017	60	20-24	198
2017	61	20-24	161
2017	62	20-24	81
2017	63	20-24	109
2017	64	20-24	298
2017	65	20-24	175
2017	66	20-24	171
2017	67	20-24	28
2017	68	20-24	165
2017	69	20-24	47
2017	70	20-24	271
2017	71	20-24	93
2017	72	20-24	110
2017	73	20-24	130
2017	99	20-24	0
2017	1	25-29	1393
2017	2	25-29	763
2017	3	25-29	482
2017	4	25-29	795
2017	5	25-29	556
2017	6	25-29	912
2017	7	25-29	788
2017	8	25-29	927
2017	9	25-29	1092
2017	10	25-29	655
2017	11	25-29	780
2017	12	25-29	0
2017	13	25-29	228
2017	14	25-29	177
2017	15	25-29	321
2017	16	25-29	200
2017	17	25-29	303
2017	18	25-29	611
2017	19	25-29	483
2017	20	25-29	282
2017	21	25-29	95
2017	22	25-29	19
2017	23	25-29	153
2017	24	25-29	69
2017	25	25-29	153
2017	26	25-29	414
2017	27	25-29	328
2017	28	25-29	136
2017	29	25-29	82
2017	30	25-29	142
2017	31	25-29	994
2017	32	25-29	472
2017	33	25-29	287
2017	34	25-29	99
2017	35	25-29	359
2017	36	25-29	52
2017	37	25-29	272
2017	38	25-29	106
2017	39	25-29	67
2017	40	25-29	65
2017	41	25-29	28
2017	42	25-29	4
2017	43	25-29	189
2017	44	25-29	186
2017	45	25-29	235
2017	46	25-29	131
2017	47	25-29	10
2017	48	25-29	73
2017	49	25-29	11
2017	50	25-29	126
2017	51	25-29	133
2017	52	25-29	208
2017	53	25-29	76
2017	54	25-29	11
2017	55	25-29	136
2017	56	25-29	8
2017	57	25-29	106
2017	58	25-29	9
2017	59	25-29	113
2017	60	25-29	332
2017	61	25-29	268
2017	62	25-29	101
2017	63	25-29	202
2017	64	25-29	549
2017	65	25-29	298
2017	66	25-29	213
2017	67	25-29	65
2017	68	25-29	375
2017	69	25-29	93
2017	70	25-29	318
2017	71	25-29	189
2017	72	25-29	219
2017	73	25-29	191
2017	99	25-29	1
2017	1	30-34	940
2017	2	30-34	470
2017	3	30-34	314
2017	4	30-34	469
2017	5	30-34	364
2017	6	30-34	589
2017	7	30-34	530
2017	8	30-34	615
2017	9	30-34	734
2017	10	30-34	442
2017	11	30-34	555
2017	12	30-34	10
2017	13	30-34	168
2017	14	30-34	102
2017	15	30-34	205
2017	16	30-34	188
2017	17	30-34	239
2017	18	30-34	454
2017	19	30-34	331
2017	20	30-34	196
2017	21	30-34	85
2017	22	30-34	20
2017	23	30-34	140
2017	24	30-34	86
2017	25	30-34	128
2017	26	30-34	330
2017	27	30-34	229
2017	28	30-34	132
2017	29	30-34	60
2017	30	30-34	121
2017	31	30-34	760
2017	32	30-34	328
2017	33	30-34	201
2017	34	30-34	93
2017	35	30-34	306
2017	36	30-34	41
2017	37	30-34	209
2017	38	30-34	82
2017	39	30-34	28
2017	40	30-34	42
2017	41	30-34	39
2017	42	30-34	7
2017	43	30-34	161
2017	44	30-34	143
2017	45	30-34	168
2017	46	30-34	126
2017	47	30-34	3
2017	48	30-34	60
2017	49	30-34	18
2017	50	30-34	126
2017	51	30-34	85
2017	52	30-34	161
2017	53	30-34	58
2017	54	30-34	15
2017	55	30-34	116
2017	56	30-34	10
2017	57	30-34	88
2017	58	30-34	8
2017	59	30-34	82
2017	60	30-34	296
2017	61	30-34	179
2017	62	30-34	101
2017	63	30-34	177
2017	64	30-34	389
2017	65	30-34	232
2017	66	30-34	146
2017	67	30-34	58
2017	68	30-34	331
2017	69	30-34	112
2017	70	30-34	237
2017	71	30-34	174
2017	72	30-34	188
2017	73	30-34	172
2017	99	30-34	0
2017	1	35-39	594
2017	2	35-39	273
2017	3	35-39	181
2017	4	35-39	282
2017	5	35-39	249
2017	6	35-39	351
2017	7	35-39	309
2017	8	35-39	319
2017	9	35-39	406
2017	10	35-39	240
2017	11	35-39	341
2017	12	35-39	2
2017	13	35-39	164
2017	14	35-39	68
2017	15	35-39	107
2017	16	35-39	93
2017	17	35-39	165
2017	18	35-39	321
2017	19	35-39	214
2017	20	35-39	149
2017	21	35-39	66
2017	22	35-39	25
2017	23	35-39	130
2017	24	35-39	70
2017	25	35-39	115
2017	26	35-39	217
2017	27	35-39	140
2017	28	35-39	80
2017	29	35-39	31
2017	30	35-39	82
2017	31	35-39	386
2017	32	35-39	170
2017	33	35-39	163
2017	34	35-39	62
2017	35	35-39	228
2017	36	35-39	22
2017	37	35-39	166
2017	38	35-39	50
2017	39	35-39	43
2017	40	35-39	27
2017	41	35-39	16
2017	42	35-39	7
2017	43	35-39	142
2017	44	35-39	117
2017	45	35-39	153
2017	46	35-39	86
2017	47	35-39	9
2017	48	35-39	47
2017	49	35-39	16
2017	50	35-39	93
2017	51	35-39	62
2017	52	35-39	126
2017	53	35-39	43
2017	54	35-39	7
2017	55	35-39	77
2017	56	35-39	8
2017	57	35-39	67
2017	58	35-39	9
2017	59	35-39	62
2017	60	35-39	225
2017	61	35-39	173
2017	62	35-39	57
2017	63	35-39	103
2017	64	35-39	235
2017	65	35-39	141
2017	66	35-39	114
2017	67	35-39	46
2017	68	35-39	227
2017	69	35-39	121
2017	70	35-39	231
2017	71	35-39	115
2017	72	35-39	107
2017	73	35-39	122
2017	99	35-39	0
2017	1	40-44	347
2017	2	40-44	155
2017	3	40-44	101
2017	4	40-44	143
2017	5	40-44	129
2017	6	40-44	206
2017	7	40-44	193
2017	8	40-44	197
2017	9	40-44	221
2017	10	40-44	173
2017	11	40-44	205
2017	12	40-44	4
2017	13	40-44	106
2017	14	40-44	45
2017	15	40-44	69
2017	16	40-44	62
2017	17	40-44	119
2017	18	40-44	197
2017	19	40-44	199
2017	20	40-44	91
2017	21	40-44	73
2017	22	40-44	18
2017	23	40-44	128
2017	24	40-44	70
2017	25	40-44	93
2017	26	40-44	194
2017	27	40-44	109
2017	28	40-44	48
2017	29	40-44	24
2017	30	40-44	41
2017	31	40-44	219
2017	32	40-44	114
2017	33	40-44	75
2017	34	40-44	35
2017	35	40-44	125
2017	36	40-44	32
2017	37	40-44	101
2017	38	40-44	37
2017	39	40-44	20
2017	40	40-44	13
2017	41	40-44	13
2017	42	40-44	3
2017	43	40-44	96
2017	44	40-44	85
2017	45	40-44	108
2017	46	40-44	61
2017	47	40-44	3
2017	48	40-44	36
2017	49	40-44	16
2017	50	40-44	63
2017	51	40-44	48
2017	52	40-44	94
2017	53	40-44	46
2017	54	40-44	9
2017	55	40-44	65
2017	56	40-44	11
2017	57	40-44	58
2017	58	40-44	8
2017	59	40-44	67
2017	60	40-44	179
2017	61	40-44	99
2017	62	40-44	50
2017	63	40-44	85
2017	64	40-44	147
2017	65	40-44	91
2017	66	40-44	49
2017	67	40-44	43
2017	68	40-44	152
2017	69	40-44	82
2017	70	40-44	195
2017	71	40-44	71
2017	72	40-44	72
2017	73	40-44	110
2017	99	40-44	0
2017	1	45-49	229
2017	2	45-49	102
2017	3	45-49	72
2017	4	45-49	87
2017	5	45-49	90
2017	6	45-49	134
2017	7	45-49	154
2017	8	45-49	151
2017	9	45-49	164
2017	10	45-49	94
2017	11	45-49	113
2017	12	45-49	3
2017	13	45-49	101
2017	14	45-49	33
2017	15	45-49	58
2017	16	45-49	37
2017	17	45-49	68
2017	18	45-49	118
2017	19	45-49	93
2017	20	45-49	64
2017	21	45-49	57
2017	22	45-49	18
2017	23	45-49	77
2017	24	45-49	45
2017	25	45-49	80
2017	26	45-49	168
2017	27	45-49	80
2017	28	45-49	33
2017	29	45-49	13
2017	30	45-49	28
2017	31	45-49	121
2017	32	45-49	60
2017	33	45-49	56
2017	34	45-49	16
2017	35	45-49	94
2017	36	45-49	7
2017	37	45-49	67
2017	38	45-49	17
2017	39	45-49	14
2017	40	45-49	15
2017	41	45-49	11
2017	42	45-49	2
2017	43	45-49	60
2017	44	45-49	60
2017	45	45-49	108
2017	46	45-49	44
2017	47	45-49	5
2017	48	45-49	38
2017	49	45-49	8
2017	50	45-49	55
2017	51	45-49	36
2017	52	45-49	74
2017	53	45-49	23
2017	54	45-49	5
2017	55	45-49	45
2017	56	45-49	3
2017	57	45-49	36
2017	58	45-49	5
2017	59	45-49	35
2017	60	45-49	108
2017	61	45-49	66
2017	62	45-49	43
2017	63	45-49	47
2017	64	45-49	91
2017	65	45-49	71
2017	66	45-49	28
2017	67	45-49	23
2017	68	45-49	77
2017	69	45-49	38
2017	70	45-49	106
2017	71	45-49	49
2017	72	45-49	62
2017	73	45-49	72
2017	99	45-49	0
2017	1	50-54	132
2017	2	50-54	81
2017	3	50-54	53
2017	4	50-54	73
2017	5	50-54	82
2017	6	50-54	115
2017	7	50-54	114
2017	8	50-54	115
2017	9	50-54	124
2017	10	50-54	79
2017	11	50-54	100
2017	12	50-54	1
2017	13	50-54	63
2017	14	50-54	20
2017	15	50-54	29
2017	16	50-54	33
2017	17	50-54	55
2017	18	50-54	106
2017	19	50-54	79
2017	20	50-54	40
2017	21	50-54	32
2017	22	50-54	11
2017	23	50-54	58
2017	24	50-54	25
2017	25	50-54	59
2017	26	50-54	129
2017	27	50-54	61
2017	28	50-54	34
2017	29	50-54	10
2017	30	50-54	16
2017	31	50-54	83
2017	32	50-54	50
2017	33	50-54	33
2017	34	50-54	16
2017	35	50-54	86
2017	36	50-54	17
2017	37	50-54	52
2017	38	50-54	21
2017	39	50-54	24
2017	40	50-54	7
2017	41	50-54	10
2017	42	50-54	2
2017	43	50-54	41
2017	44	50-54	46
2017	45	50-54	72
2017	46	50-54	31
2017	47	50-54	6
2017	48	50-54	39
2017	49	50-54	7
2017	50	50-54	42
2017	51	50-54	20
2017	52	50-54	53
2017	53	50-54	10
2017	54	50-54	9
2017	55	50-54	49
2017	56	50-54	3
2017	57	50-54	29
2017	58	50-54	3
2017	59	50-54	30
2017	60	50-54	92
2017	61	50-54	59
2017	62	50-54	29
2017	63	50-54	31
2017	64	50-54	68
2017	65	50-54	40
2017	66	50-54	14
2017	67	50-54	22
2017	68	50-54	57
2017	69	50-54	47
2017	70	50-54	81
2017	71	50-54	50
2017	72	50-54	43
2017	73	50-54	63
2017	99	50-54	0
2017	1	55-59	95
2017	2	55-59	55
2017	3	55-59	38
2017	4	55-59	32
2017	5	55-59	46
2017	6	55-59	88
2017	7	55-59	89
2017	8	55-59	92
2017	9	55-59	79
2017	10	55-59	51
2017	11	55-59	68
2017	12	55-59	0
2017	13	55-59	51
2017	14	55-59	9
2017	15	55-59	23
2017	16	55-59	22
2017	17	55-59	48
2017	18	55-59	68
2017	19	55-59	49
2017	20	55-59	32
2017	21	55-59	22
2017	22	55-59	4
2017	23	55-59	39
2017	24	55-59	19
2017	25	55-59	31
2017	26	55-59	100
2017	27	55-59	32
2017	28	55-59	28
2017	29	55-59	8
2017	30	55-59	12
2017	31	55-59	69
2017	32	55-59	37
2017	33	55-59	44
2017	34	55-59	14
2017	35	55-59	44
2017	36	55-59	7
2017	37	55-59	35
2017	38	55-59	14
2017	39	55-59	12
2017	40	55-59	3
2017	41	55-59	10
2017	42	55-59	0
2017	43	55-59	33
2017	44	55-59	37
2017	45	55-59	54
2017	46	55-59	34
2017	47	55-59	1
2017	48	55-59	19
2017	49	55-59	7
2017	50	55-59	29
2017	51	55-59	13
2017	52	55-59	31
2017	53	55-59	14
2017	54	55-59	0
2017	55	55-59	22
2017	56	55-59	1
2017	57	55-59	24
2017	58	55-59	3
2017	59	55-59	20
2017	60	55-59	70
2017	61	55-59	39
2017	62	55-59	19
2017	63	55-59	27
2017	64	55-59	52
2017	65	55-59	29
2017	66	55-59	25
2017	67	55-59	13
2017	68	55-59	33
2017	69	55-59	27
2017	70	55-59	54
2017	71	55-59	31
2017	72	55-59	35
2017	73	55-59	39
2017	99	55-59	0
2017	1	60-64	60
2017	2	60-64	33
2017	3	60-64	30
2017	4	60-64	37
2017	5	60-64	36
2017	6	60-64	77
2017	7	60-64	73
2017	8	60-64	65
2017	9	60-64	73
2017	10	60-64	39
2017	11	60-64	55
2017	12	60-64	0
2017	13	60-64	36
2017	14	60-64	12
2017	15	60-64	22
2017	16	60-64	20
2017	17	60-64	30
2017	18	60-64	48
2017	19	60-64	62
2017	20	60-64	29
2017	21	60-64	21
2017	22	60-64	5
2017	23	60-64	26
2017	24	60-64	14
2017	25	60-64	24
2017	26	60-64	64
2017	27	60-64	31
2017	28	60-64	18
2017	29	60-64	7
2017	30	60-64	13
2017	31	60-64	47
2017	32	60-64	28
2017	33	60-64	33
2017	34	60-64	10
2017	35	60-64	39
2017	36	60-64	13
2017	37	60-64	26
2017	38	60-64	16
2017	39	60-64	10
2017	40	60-64	4
2017	41	60-64	0
2017	42	60-64	0
2017	43	60-64	21
2017	44	60-64	21
2017	45	60-64	34
2017	46	60-64	17
2017	47	60-64	1
2017	48	60-64	14
2017	49	60-64	8
2017	50	60-64	20
2017	51	60-64	11
2017	52	60-64	25
2017	53	60-64	14
2017	54	60-64	1
2017	55	60-64	19
2017	56	60-64	1
2017	57	60-64	16
2017	58	60-64	1
2017	59	60-64	15
2017	60	60-64	51
2017	61	60-64	45
2017	62	60-64	11
2017	63	60-64	21
2017	64	60-64	39
2017	65	60-64	26
2017	66	60-64	17
2017	67	60-64	12
2017	68	60-64	38
2017	69	60-64	14
2017	70	60-64	54
2017	71	60-64	24
2017	72	60-64	29
2017	73	60-64	42
2017	99	60-64	0
2017	1	65-69	35
2017	2	65-69	22
2017	3	65-69	9
2017	4	65-69	21
2017	5	65-69	27
2017	6	65-69	55
2017	7	65-69	35
2017	8	65-69	48
2017	9	65-69	77
2017	10	65-69	50
2017	11	65-69	21
2017	12	65-69	1
2017	13	65-69	31
2017	14	65-69	9
2017	15	65-69	6
2017	16	65-69	14
2017	17	65-69	15
2017	18	65-69	48
2017	19	65-69	47
2017	20	65-69	24
2017	21	65-69	15
2017	22	65-69	6
2017	23	65-69	19
2017	24	65-69	15
2017	25	65-69	22
2017	26	65-69	42
2017	27	65-69	21
2017	28	65-69	13
2017	29	65-69	3
2017	30	65-69	6
2017	31	65-69	39
2017	32	65-69	42
2017	33	65-69	28
2017	34	65-69	5
2017	35	65-69	27
2017	36	65-69	5
2017	37	65-69	18
2017	38	65-69	10
2017	39	65-69	6
2017	40	65-69	2
2017	41	65-69	0
2017	42	65-69	0
2017	43	65-69	15
2017	44	65-69	17
2017	45	65-69	18
2017	46	65-69	17
2017	47	65-69	1
2017	48	65-69	4
2017	49	65-69	3
2017	50	65-69	17
2017	51	65-69	16
2017	52	65-69	22
2017	53	65-69	8
2017	54	65-69	2
2017	55	65-69	7
2017	56	65-69	0
2017	57	65-69	7
2017	58	65-69	4
2017	59	65-69	4
2017	60	65-69	48
2017	61	65-69	28
2017	62	65-69	14
2017	63	65-69	11
2017	64	65-69	44
2017	65	65-69	16
2017	66	65-69	19
2017	67	65-69	10
2017	68	65-69	36
2017	69	65-69	16
2017	70	65-69	23
2017	71	65-69	12
2017	72	65-69	15
2017	73	65-69	31
2017	99	65-69	0
2017	1	70-74	16
2017	2	70-74	9
2017	3	70-74	6
2017	4	70-74	11
2017	5	70-74	30
2017	6	70-74	40
2017	7	70-74	26
2017	8	70-74	42
2017	9	70-74	40
2017	10	70-74	31
2017	11	70-74	16
2017	12	70-74	0
2017	13	70-74	15
2017	14	70-74	5
2017	15	70-74	4
2017	16	70-74	9
2017	17	70-74	16
2017	18	70-74	19
2017	19	70-74	30
2017	20	70-74	7
2017	21	70-74	6
2017	22	70-74	1
2017	23	70-74	16
2017	24	70-74	8
2017	25	70-74	27
2017	26	70-74	33
2017	27	70-74	20
2017	28	70-74	9
2017	29	70-74	3
2017	30	70-74	13
2017	31	70-74	21
2017	32	70-74	20
2017	33	70-74	9
2017	34	70-74	5
2017	35	70-74	24
2017	36	70-74	5
2017	37	70-74	10
2017	38	70-74	8
2017	39	70-74	10
2017	40	70-74	7
2017	41	70-74	1
2017	42	70-74	0
2017	43	70-74	18
2017	44	70-74	18
2017	45	70-74	11
2017	46	70-74	8
2017	47	70-74	1
2017	48	70-74	6
2017	49	70-74	2
2017	50	70-74	4
2017	51	70-74	9
2017	52	70-74	8
2017	53	70-74	4
2017	54	70-74	1
2017	55	70-74	5
2017	56	70-74	0
2017	57	70-74	3
2017	58	70-74	2
2017	59	70-74	8
2017	60	70-74	32
2017	61	70-74	18
2017	62	70-74	8
2017	63	70-74	16
2017	64	70-74	16
2017	65	70-74	12
2017	66	70-74	8
2017	67	70-74	8
2017	68	70-74	13
2017	69	70-74	6
2017	70	70-74	18
2017	71	70-74	14
2017	72	70-74	12
2017	73	70-74	21
2017	99	70-74	1
2017	1	75-79	12
2017	2	75-79	5
2017	3	75-79	5
2017	4	75-79	5
2017	5	75-79	14
2017	6	75-79	21
2017	7	75-79	27
2017	8	75-79	15
2017	9	75-79	33
2017	10	75-79	11
2017	11	75-79	12
2017	12	75-79	0
2017	13	75-79	15
2017	14	75-79	6
2017	15	75-79	3
2017	16	75-79	5
2017	17	75-79	9
2017	18	75-79	20
2017	19	75-79	20
2017	20	75-79	6
2017	21	75-79	10
2017	22	75-79	2
2017	23	75-79	9
2017	24	75-79	10
2017	25	75-79	15
2017	26	75-79	24
2017	27	75-79	19
2017	28	75-79	5
2017	29	75-79	2
2017	30	75-79	3
2017	31	75-79	18
2017	32	75-79	10
2017	33	75-79	13
2017	34	75-79	6
2017	35	75-79	9
2017	36	75-79	2
2017	37	75-79	6
2017	38	75-79	2
2017	39	75-79	3
2017	40	75-79	3
2017	41	75-79	4
2017	42	75-79	0
2017	43	75-79	6
2017	44	75-79	6
2017	45	75-79	7
2017	46	75-79	0
2017	47	75-79	0
2017	48	75-79	9
2017	49	75-79	1
2017	50	75-79	6
2017	51	75-79	3
2017	52	75-79	11
2017	53	75-79	2
2017	54	75-79	0
2017	55	75-79	7
2017	56	75-79	1
2017	57	75-79	3
2017	58	75-79	0
2017	59	75-79	5
2017	60	75-79	17
2017	61	75-79	11
2017	62	75-79	3
2017	63	75-79	10
2017	64	75-79	11
2017	65	75-79	7
2017	66	75-79	5
2017	67	75-79	5
2017	68	75-79	3
2017	69	75-79	2
2017	70	75-79	7
2017	71	75-79	6
2017	72	75-79	11
2017	73	75-79	12
2017	99	75-79	0
2017	1	80-84	9
2017	2	80-84	2
2017	3	80-84	6
2017	4	80-84	3
2017	5	80-84	10
2017	6	80-84	21
2017	7	80-84	16
2017	8	80-84	12
2017	9	80-84	24
2017	10	80-84	8
2017	11	80-84	8
2017	12	80-84	0
2017	13	80-84	17
2017	14	80-84	4
2017	15	80-84	7
2017	16	80-84	6
2017	17	80-84	4
2017	18	80-84	21
2017	19	80-84	23
2017	20	80-84	7
2017	21	80-84	10
2017	22	80-84	0
2017	23	80-84	17
2017	24	80-84	5
2017	25	80-84	16
2017	26	80-84	17
2017	27	80-84	10
2017	28	80-84	6
2017	29	80-84	2
2017	30	80-84	2
2017	31	80-84	19
2017	32	80-84	11
2017	33	80-84	11
2017	34	80-84	5
2017	35	80-84	12
2017	36	80-84	4
2017	37	80-84	11
2017	38	80-84	3
2017	39	80-84	2
2017	40	80-84	6
2017	41	80-84	4
2017	42	80-84	0
2017	43	80-84	6
2017	44	80-84	10
2017	45	80-84	8
2017	46	80-84	4
2017	47	80-84	1
2017	48	80-84	7
2017	49	80-84	4
2017	50	80-84	1
2017	51	80-84	2
2017	52	80-84	12
2017	53	80-84	1
2017	54	80-84	0
2017	55	80-84	1
2017	56	80-84	0
2017	57	80-84	2
2017	58	80-84	3
2017	59	80-84	3
2017	60	80-84	15
2017	61	80-84	7
2017	62	80-84	1
2017	63	80-84	7
2017	64	80-84	13
2017	65	80-84	6
2017	66	80-84	2
2017	67	80-84	2
2017	68	80-84	10
2017	69	80-84	6
2017	70	80-84	6
2017	71	80-84	8
2017	72	80-84	12
2017	73	80-84	3
2017	99	80-84	0
2017	1	85-89	8
2017	2	85-89	1
2017	3	85-89	0
2017	4	85-89	6
2017	5	85-89	5
2017	6	85-89	19
2017	7	85-89	14
2017	8	85-89	12
2017	9	85-89	15
2017	10	85-89	5
